Date,Time,TxBat(V),RSSI 2.4G(dB),RX,RSSI 900M(dB),RX,SWR,VFR 2.4G(%),VFR 900M(%),RxBatt(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Altitude(m),VSpeed(m/s),RPM(U/min),Current(A),GPS,GPS clock(),GPS speed(kn),GPS alt(m),GPS course(°),ADC2(V),Air speed(kn),VFAS(V),RB Ch. State(),RB State(),R.angle(°),P.angle(°),GASS temp1(°C),GASS temp2(°C),GASS RPM(U/min),GASS res. vol.(ml),GASS res. %(%),GASS flow(ml/min),GASS max flow(ml/min),GASS avg flow(ml/min),H.pressure(Pa),ESC RPM(U/min),ESC consumption(mAh),RxBatt1(V),RxBatt2(V),RxCurrent(A),Seitenruder,Höhenruder,Gas,Querruder,S1,S2,S3,Drehg. li.,Drehg. re.,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,
2025-08-21,18:55:53.700,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:54.010,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:54.320,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:54.580,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:54.850,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:55.120,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:55.380,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:55.650,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:55.920,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-08-21,18:55:56.180,7.50,64,0,64,0,32,100,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,1.00,1.04,360,36.0,31.2125433 121.4000517,2022-08-02 20:01:07,20.480,1.00,0.16,36.00,80.0,8.00,"K1K2K3K4K5K6K7K8K9K10K11K12K13K14K15K16 KO","RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal",7.52,-2.62,-1,-1,,,,,,,800,80000,0,1.75,4.30,0.18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
